Sum of Precip (inches),Month,,,,,,,,,,,,
Year ,1,2,3,4,5,6,7,8,9,10,11,12,Grand Total
1897,0,0,0,0,2.3,3.71,3.09,2.96,0.86,1.66,0.47,0.7,15.75
1898,0.43,0.55,0.67,1.54,3.76,1.33,0.97,1.45,1.12,0.9,1.93,1.3,15.95
1899,0.87,0.98,2.79,1.13,0.53,0.58,2.19,1.81,0.15,1.94,0,0.96,13.93
1900,0.4,1.06,0.75,9.17,1.84,0.49,0.48,0.22,1.54,0.13,0.19,0.61,16.88
1901,0.53,0.3,1.74,3.51,1.62,1.76,0.46,1.69,0.16,0.65,0,1.43,13.85
1902,0.37,0.48,1.48,1.01,2.32,1.46,1.26,0.53,5.46,1.44,1.29,1.34,18.44
1903,0.08,1.42,1.45,2.31,2.02,1.87,0.95,1.46,1.31,3.43,0.15,0.16,16.61
1904,0.09,0.31,2.37,1.45,5.35,2.72,1.05,1,1.6,1.06,0.08,0.7,17.78
1905,0.81,0.7,1.65,6.65,4.78,0.55,1.86,0.22,1.64,2.54,0.23,0,21.63
1906,0.22,0.17,2.29,3.76,3.37,1.56,3.52,2.5,3.13,1.8,1.87,0,24.19
1907,0.22,0.56,0.47,3.59,5.29,0.59,2.79,0.44,1,0.58,0.41,0.27,16.21
1908,0.6,0.09,0.23,0.71,3.45,0.29,2.07,3.3,1.55,2.59,1.96,1.04,17.88
1909,0.11,1.21,4.16,3.6,1.85,1.67,3.18,0,4.51,0.55,1.56,1.72,24.12
1910,0.2,1.39,0.05,1.34,3.38,0,0,0,0.48,1.05,0.27,0.53,8.69
1911,0.73,1.56,0.64,2.65,0.9,1.3,1.67,1.29,0.26,1.59,0.72,0,13.31
1912,0,0,0,1.69,3.82,2.09,3.75,1.68,2.7,1.03,0.93,0.3,17.99
1913,0.86,1.23,0.71,1.58,1.85,1.21,4.05,0.64,2.62,2.24,0,4.2,21.19
1914,0,0.08,1.77,3.38,3.36,1.7,2.32,1.93,0.25,2.69,0.31,0.29,18.08
1915,0.4,1.31,1.68,4.46,4.01,1.78,2.58,1.67,3.02,1.83,0.25,1.5,24.49
1916,0.73,0.02,1.02,2.36,3.77,0.53,1.26,1.9,1.32,4.6,1.32,0.86,19.69
1917,0.31,0.54,1.75,2.81,6.17,0.13,0.48,0.2,0.13,0.95,0.1,0.42,13.99
1918,0.68,1.18,0.72,2.98,2.03,1.28,2.54,0.57,3.62,1.1,0.78,0.86,18.34
1919,0,0.32,1.49,2.65,0.88,2,6.97,0.95,0.88,1.31,2.07,0.5,20.02
1920,1.22,1.34,0.58,4.07,1.61,1.87,0.68,2.55,0.73,2.43,0.78,0.85,18.71
1921,0.11,0.31,0.67,4.81,1.5,3.6,1.53,2,0.17,1.13,0.98,1.46,18.27
1922,0.63,0.59,0.81,3.32,1.02,0.62,1.04,1.46,0,1.13,2.58,0.56,13.76
1923,0,1.71,2.29,1.29,3.47,4.44,2.46,2.68,1.32,5.43,0.4,0.88,26.37
1924,0.33,0.36,1.77,2.52,2.77,0,0.38,0.48,2.06,1.47,0.12,1.33,13.59
1925,0.01,0,0.35,0.25,1.61,1.86,2.1,1.83,2.24,4.82,0.99,1.18,17.24
1926,0.55,0.65,2.69,2.96,3.22,0.55,1.33,2.03,0.41,0.95,0.33,1.97,17.64
1927,0.22,0.47,2.66,3.46,1.72,3.47,2.39,1.26,1.29,0.86,0.95,0.69,19.44
1928,0.07,1.62,2.72,1.55,5.48,2.75,1.34,0.66,0.23,1.78,2.09,0.04,20.33
1929,0.36,0.73,2.57,1.6,1.5,1.75,4.06,2.61,1.79,1.7,1.89,0.66,21.22
1930,0.64,0.56,0.88,0.99,2.17,1.02,2.85,3.81,0.36,0.65,1.33,0.68,15.94
1931,0,1.81,1.59,1.6,3.67,2.18,1.07,0.53,0.2,0.71,0.85,0.02,14.23
1932,0.33,1.06,1.47,2.01,1.1,1.08,1.55,1.17,0.1,1,0.42,0.56,11.85
1933,0,0.26,1.28,4.15,3.94,0.3,0.55,1.61,2.46,0,0.4,1.13,16.08
1934,0.1,1.88,1.63,2.82,3.11,1.9,0.24,0.21,1.02,0,0.84,0.22,13.97
1935,0.08,0.51,0.14,2.8,7.04,0.8,0.33,1.09,1.4,1.46,0.78,0.01,16.44
1936,0.17,0.38,2.88,1.2,2.75,2.85,1.34,3.51,1.86,2.71,0.25,0.36,20.26
1937,0.34,0.58,0.83,2.01,2.31,3.91,0.82,0.91,0.69,0.58,0.44,2.16,15.58
1938,0.6,0.59,2.59,4.42,4.38,2.82,3.31,1.32,5.21,0.65,2.11,1.04,29.04
1939,0.83,0.88,1.68,1.94,1.74,0.84,0.27,0.94,0.69,0.99,0.05,0.26,11.11
1940,1.54,1.09,1.58,2.05,2.57,0.83,1.87,1.47,5.68,0.6,0.75,0.42,20.45
1941,1.12,0.29,2.92,4.08,2.07,1.53,2.51,2.54,2.22,3.13,0.71,0.87,23.99
1942,1.19,1.85,0.93,6.94,1.8,3.22,0.57,1.66,1.16,6.04,0.41,0.46,26.23
1943,0.1,0.33,1.19,1.36,4.85,1.17,2.33,3.08,0,0.04,0.96,0.34,15.75
1944,0.9,0.4,3.79,6.79,1.77,0.96,1.92,0.6,0,0.45,0.33,0.68,18.59
1945,1.26,0.66,1.07,4.12,3.86,2.05,2.35,3.86,0.69,1.46,0.61,0.74,22.73
1946,1,0.18,0.71,0.89,3.55,1.33,1.51,2.19,1.32,2.17,3.68,0.11,18.64
1947,0.57,1.16,2.66,1.34,4.35,4.07,0.56,1.37,0.72,3.74,1.23,0.66,22.43
1948,2.5,0.46,3.32,2,1.3,2.35,1.11,0.32,0.95,1.1,0.98,0.54,16.93
1949,1.66,0.17,2.54,2.17,3.69,7.4,1.16,0.36,0.26,1.52,0,0.29,21.22
1950,0.99,0.26,0.41,2.95,3.49,0.89,0.79,0.21,1.55,0.39,1.97,0.26,14.16
1951,1.12,1.01,2.4,2.73,1.93,2.63,1.4,7.49,0.88,2.77,1.51,1.54,27.41
1952,0.01,0.48,2.26,3.29,4.45,0.77,0.91,2.19,0.49,0.42,1.71,0.17,17.15
1953,0.46,0.92,1.6,2.22,2.69,1.33,2.84,1.07,0.01,0.56,1.14,1.17,16.01
1954,0.48,0.25,1.16,0.83,1.33,1.16,1.73,0.83,1.37,0.42,0.67,0.68,10.91
1955,0.39,1.41,2.14,0.22,2.49,1.88,1.33,1.5,1.05,0.56,1.42,0.86,15.25
1956,0.41,1.53,1.59,1.46,3.67,1.9,2.5,2.24,0.02,0.5,1.83,0.8,18.45
1957,1.05,1.28,0.63,6.85,9.27,0.93,0.92,1.97,0.85,2.48,1.12,0.08,27.43
1958,0.74,0.53,2.8,3.19,4.17,2.05,1.99,0.82,1.05,0.56,0.63,0.75,19.28
1959,1.01,1.29,1.91,2.08,3.73,0.64,0.82,1.35,3.01,2.18,0.72,0.11,18.85
