Year,Sum of Precip (inches)
1897,15.75
1898,15.95
1899,13.93
1900,16.88
1901,13.85
1902,18.44
1903,16.61
1904,17.78
1905,21.63
1906,24.19
1907,16.21
1908,17.88
1909,24.12
1910,8.69
1911,13.31
1912,17.99
1913,21.19
1914,18.08
1915,24.49
1916,19.69
1917,13.99
1918,18.34
1919,20.02
1920,18.71
1921,18.27
1922,13.76
1923,26.37
1924,13.59
1925,17.24
1926,17.64
1927,19.44
1928,20.33
1929,21.22
1930,15.94
1931,14.23
1932,11.85
1933,16.08
1934,13.97
1935,16.44
1936,20.26
1937,15.58
1938,29.04
1939,11.11
1940,20.45
1941,23.99
1942,26.23
1943,15.75
1944,18.59
1945,22.73
1946,18.64
1947,22.43
1948,16.93
1949,21.22
1950,14.16
1951,27.41
1952,17.15
1953,16.01
1954,10.91
1955,15.25
1956,18.45
1957,27.43
1958,19.28
1959,18.85
1960,15.3
1961,22.39
1962,12.77
1963,16.95
1964,11.47
1965,19.47
1966,11.13
1967,24.89
1968,16.19
1969,27.52
1970,16.65
1971,18.69
1972,18.43
1973,20.21
1974,15.11
1975,18.24
1976,14.66
1977,13.49
1978,22.21
1979,13.94
1980,11.95
1981,18.36
1982,21.09
1983,24.51
1984,18.54
1985,17.44
1986,21.35
1987,25.82
1988,16.95
1989,12.42
1990,14.79
1991,20.89
1992,17.22
1993,21.51
1994,16.78
1995,29.93
1996,21.38
1997,28.28
1998,22.02
1999,25.87
2000,15.96
2001,19.52
2002,13.82
2003,21.82
2004,27.19
2005,17.22
2006,19.31
2007,17.13
2008,17.02
2009,22.18
2010,20.51
2011,22.3
2012,15.65
2013,34.15
2014,17.28
